,5 FLUOROURACIL 84 ugmL,A baumannii 5075,ACTINOMYCIN D 4 ugmL,ACTINOMYCIN D 6 ugmL,ADRIAMYCIN 6 ugmL,AZITHROMYCIN 0.4 ugmL,BENZAKONIUM CHLORIDE 20 ugmL,BENZAKONIUM CHLORIDE 40 ugmL,BLEOMYCIN 1.5 ugmL,BLEOMYCIN 3 ugmL,BLOOD AGAR 1,CAMP 0.2 uM,CCCP 0.05 ugmL,CCCP 0.075 ugmL,CEFSULODIN 3 ugmL,CEFSULODIN 6 ugmL,CHLORHEXIDINE 4 ugmL,CHLORHEXIDINE 7 ugmL,CIPROFLOXACIN 0.00025 ugmL,COPPER SULPHATE 20 ugmL,COPPER SULPHATE 50 ugmL,CYCLIC DI GMP 1 uM,DIBUCAINE 0.25 ugmL,DIMETHYL FUMARATE 0.6 ugmL,DIMETHYL FUMARATE 1 ugmL,DMSO 2.5 ugmL,DMSO 5 ugmL,EDTA 1 mM,EGCG 120 ugmL,EGCG 75 ugmL,EGLA WATER DISINFECTANT 1.5 ugmL,EGLA WATER DISINFECTANT 2.5 ugmL,EGTA 1 mM,ETHANOL 12,FOSFOMYCIN 25 ugmL,FOSFOMYCIN 45 ugmL,GENTAMYCIN 5 ugmL,GLYCOLIC ACID 0.25 ugmL,GLYCOLIC ACID 0.75,HYDROGEN PEROXIDE 1.8 mM,IMIDAZOLE 12 ugmL,IMIDAZOLE 24 ugmL,ISOPROPANOL 5 ugmL,K pneumoniae MKP 103,LOPERAMIDE 60 ugmL,LOPERAMIDE 80 ugmL,LYSOZYME 120 ugmL,MAGNESIUM CHLORIDE 10 mgmL,MAGNESIUM CHLORIDE 5 mgmL,METFORMIN 10 ugmL,METFORMIN 8 ugmL,METHOTREXATE 60 ugmL,MMS 1,MMS 1.5,N HEXANOYL L HOMOSERINE LACTONE 200 ugmL,NIGERICIN 120 ugmL,NIGERICIN 200 ugmL,NO SALT LB with SUCROSE 0 mM,P aeruginosa 1,PROCAINE 1 ugmL,PROCAINE 1.5 ugmL,RIFAMPICIN 0.2 ugmL,SALT 0 mM,SDS 0.25,SODIUM BUTYRATE 50 ugmL,SODIUM BUTYRATE 70 ugmL,SODIUM CHOLATE 100 ugmL,SODIUM DEOXYCHOLATE 105 ugmL,SODIUM DEOXYCHOLATE 90 ugmL,SODIUM TAUROCHOLATE 40 ugmL,SODIUM TAUROCHOLATE 60 ugmL,SPECTINOMYCIN 12 ugmL,SPECTINOMYCIN 9 ugmL,STREPTOMYCIN 3 ugmL,STREPTOMYCIN 8 ugmL,TEMPERATURE 18,TEMPERATURE 25,TEMPERATURE 30,TRICLOSAN 70 ugmL,TRICLOSAN 90 ugmL,TRITON 3,UREA 800 ugmL,UV 0.07 Joules,UV 0.1 Joules,UV 0.2 Joules,UV 0.5 Joules,V cholerae C 7606,VANCOMYCIN 100 ugmL,VANCOMYCIN 60 ugmL,VANILLIN AZITHROMYCIN 1,VANILLIN CIPROFLOXACIN 1,ZINC SULPHATE 150 ugmL,pH 6,M9 A KETOGLUTARATE 1,M9 ACETATE 1,M9 ALANINE 1,M9 FRUCTOSE 1,M9 GLYCEROL 1,M9 MALATE 1,M9 MALTOSE 1,M9 MANNITOL 1,M9 PROLINE 1,M9 PYRUVATE 1,M9 SUCCINATE 1,M9 SUCROSE 1,M9 TREHALOSE 1
A - ,1.749745687,1.365721678,-0.998636058,-1.861353967,0.328553793,0.454254853,-0.367722149,-0.639107901,-1.351357167,-0.445589986,-0.403390325,0.03690367,-0.331676779,0.587874581,-2.094368627,1.291976883,-1.388881485,-0.397386314,2.569649788,-0.93262492,0.236589845,-0.942666176,0.385659706,-0.004823943,1.008886879,-0.308976964,-0.436112954,0.609798449,-0.163635407,0.799558054,-1.029007583,-1.313040144,3.179908596,-2.882773914,0.187458659,-0.709168925,0.577066907,-0.443186961,1.044910785,-0.764266161,-0.964834906,0.2538246,1.935294655,-0.136932401,1.102365002,1.50598537,0.269092938,-1.022579262,0.14845297,0.77795766,0.821641707,0.061971113,-0.51427323,-0.279564092,1.97043888,-1.468535597,-0.34197186,-0.358894215,0.932210402,0.370901833,-2.767184381,0.113915975,-0.331499595,0.473972073,1.129367329,1.02819304,0.72035392,-0.574449576,0.443724658,-0.389903259,-0.93516542,-1.187105767,-0.146582268,-1.351100064,-0.092924747,1.02400107,0.839538376,2.394958238,0.12590993,-0.705611061,0.146361596,-0.280132771,1.387076683,-1.170424175,0.85409624,-3.397202982,-2.055805948,0.411022495,-0.757976036,-2.295082435,1.475420268,-1.620207029,-0.984377353,0.86912043,0.25883806,,-3.748310366,0.930918641,0.183115643,0.10637208,-1.524116621,0.222803269,-0.160632117,-0.765658626,-0.848470381,0.305263918
B - ,2.389934622,0.473608861,-0.786076549,0.614632748,0.32445751,-0.000455354,0.13123993,-2.625027997,-0.029237247,1.177868311,1.262317261,1.013977991,-1.1377033,0.041931887,1.020748959,0.047365505,0.384804723,-0.727573103,1.853777162,0.334284444,-2.35377476,1.287094762,-0.160239814,1.586666985,1.061217671,-0.462989455,-0.25106342,1.745600592,-1.197691892,0.074227894,0.481034676,0.46811122,0.887109355,-5.420724961,1.742228734,0.817185031,1.483123994,1.424098826,0.067796539,-3.162053334,1.257096055,-0.208089675,-0.28716977,0.631823422,-1.124767217,-0.510254971,2.48792523,-0.689701111,-1.313918569,-1.641372508,-0.029594046,0.486202122,-0.865400639,-0.474178152,-1.581075117,-0.374350131,1.436458698,1.046134757,-0.990620638,0.081346135,-1.403639655,-2.20087558,1.152610935,-0.181430757,-1.740721173,-2.05322186,-1.226270978,-1.884499908,-0.161758877,0.889137528,-0.13103813,0.140148922,0.223014621,-0.584298932,-0.061369374,1.337736691,-1.608404201,-1.38026324,0.613210443,-0.468633324,-0.846420587,-1.226105954,-1.136747384,0.270251793,-0.111700237,-0.048494183,0.413962607,0.441135628,-0.612246521,0.300120178,1.401710869,-0.307444197,0.16229795,0.167920753,-2.275466129,,0.290530286,-0.160435408,0.209390592,-1.645392946,0.074454736,-2.046929426,-0.106402657,1.69959156,2.99998163,0.052666413
C - ,1.058857901,1.350584952,-0.226726987,-0.424295475,-0.252389505,0.089136662,-0.545145332,0.676906552,1.960481132,0.585885961,1.415692968,0.592717914,0.624034998,-1.691820657,0.624179123,0.683988152,0.609534471,0.632556277,1.043200879,1.061229686,-0.416766458,-0.434076467,0.966555064,-0.555820264,1.141704519,-1.302149683,-0.732411726,-0.594129107,-0.765208132,-0.610611174,0.472523549,-0.015116294,-1.114960932,0.112905882,-1.085986931,1.518877338,0.093174863,-0.095460208,0.23022688,-0.14138425,0.273805992,-0.259758992,-0.032571127,-0.236169938,0.36082919,-0.418820276,-0.238085206,0.372310375,-0.511761483,-1.07349869,1.041240254,1.276702088,-0.047949203,-0.229217845,-1.720289204,-0.754319238,0.022003854,0.281069387,0.776593009,0.788424579,0.348303769,-0.259074503,0.352177629,1.163687398,0.812695588,0.639329621,-1.81539608,1.058451194,1.284484137,-1.527435685,-0.27228373,-0.508250319,-0.812359379,0.905834866,2.24480554,0.386659447,-1.680917943,-0.859057305,-1.16278588,0.72897403,0.19920293,-0.886115437,-0.815198185,-1.8671398,-0.048713394,0.277837415,-1.313748625,-0.805471894,0.259625912,,-0.203423225,-1.122286309,-0.468218341,-1.167920772,-2.764531311,0.365888875,2.705166099,0.145246771,,0.764848193,1.261313942,1.644023069,-0.144383873,-1.763570698,0.77739353,-0.032651983
D - ,0.560027102,3.044563788,-0.104924393,0.289078109,0.343576335,-0.84375949,0.733633689,1.305831548,-0.661254695,0.086474849,-0.357031639,-0.28961439,-0.904010129,-0.133615842,-1.816934353,1.452603555,0.744953361,1.139031904,2.194347465,-0.642817053,-1.105909471,-0.318501265,-1.485666453,-0.004816149,0.074439643,-0.40898431,-0.425109056,1.636622701,0.404621047,0.162393135,-0.866911774,0.51620235,-0.890444809,2.379454208,-0.377024298,1.021360447,1.842355868,-0.890769879,1.295201506,-0.432671241,-0.694896066,-0.500353292,3.168442546,-0.036953735,0.560706123,2.940404327,-0.153782968,-0.177453103,0.949522321,1.634075475,-0.059104492,-0.059696388,0.341717995,1.108007141,0.72371228,0.221692278,0.114620901,-0.774394703,1.738494008,-0.031657766,-0.471184389,-0.107264734,-1.912713231,-0.54789376,-0.550407691,-0.23697306,0.314906183,-0.276075714,-0.779351937,-0.000872542,0.042322675,-0.378336455,-0.632841525,0.305045564,1.424264705,0.959835943,1.296334679,-0.483929766,1.766973907,0.141140111,-1.114594238,-0.9913526,1.603653402,-0.68096483,1.8924363,-0.198518599,0.177255888,0.111213765,-0.190961182,,3.734201069,-1.534855514,-1.702413504,0.027063407,-0.924423563,-0.414573666,-0.15341972,0.040238386,,-0.412244735,-0.350499767,-0.100256944,-0.140769654,1.123633392,-0.180623977,0.4804579
E - ,0.57551995,-0.397835172,1.816763547,-0.604557733,0.726293764,-1.092607876,0.72891402,0.371323395,-2.692088414,-1.063047049,-0.774658785,0.403921252,-0.253371348,0.289507315,-0.328452132,1.820807564,1.284292706,1.232136084,-0.820507434,0.143136846,-0.096777712,-0.972139256,0.676470173,-1.921372377,0.558683661,0.80505089,0.66870391,-0.194544861,2.240833142,1.151092946,0.568392766,-0.845326376,0.409199925,-0.557964512,-0.561095912,0.01545402,-3.182311435,-0.589425165,-0.563971433,-0.976684837,0.380386731,0.221266562,-0.835675148,-0.620908365,-0.77251761,-1.059130241,-0.501027757,-0.296691765,-0.159824294,-0.337334727,0.675693658,0.068298465,1.146540838,-0.217600899,0.848613463,0.381388445,1.029042729,1.518190829,-0.585467077,-1.775067763,0.484564565,0.541393882,0.293707151,0.149270284,-1.888671472,-0.738112909,0.787776152,2.22733739,0.609586893,-0.00839575,0.950065991,-0.125126194,-0.560132709,1.285215918,-1.633741585,0.109014082,0.751336108,0.486207382,-0.012968488,0.9628264,1.368178157,0.352362579,-0.316893502,-0.942111893,1.14219526,-0.225119498,1.850629177,-0.242803423,0.617469288,,-0.516004588,1.862053107,-0.427383184,-0.752921478,-1.606037424,0.522828789,-3.311952607,1.49072601,,0.558918332,-1.157153931,0.176536031,2.104451,1.338805244,-4.206602298,-1.001309177
F - ,-0.533073061,0.273249604,0.821507627,-0.620892885,0.808652834,-1.224784527,1.526763354,-0.785124204,2.317940951,1.112799666,0.43937661,0.082256333,1.354897876,0.888457479,1.489107137,1.104296802,-0.102242167,-0.739619119,-1.273150303,1.60216922,-0.018486348,0.563770715,2.256965325,0.232479877,1.586673111,0.616844306,0.342489605,-1.702323525,0.941293282,1.039405034,1.752009193,-1.014296854,-1.353593869,1.101107878,-1.228413519,-1.205334729,-2.93965632,0.04511922,0.591184621,-0.479532229,-2.029872793,-1.291259399,0.070609441,1.02899812,0.789249086,-0.838481734,-2.560662661,-0.836067411,0.95422513,-1.913199936,0.19393577,2.047048273,-0.180493043,-0.23830439,0.063601425,-0.508872891,-0.961987962,-0.124553438,-0.870716882,1.490205669,1.814908333,1.825429158,-1.460065044,-0.231882704,1.184418942,-0.319187834,1.137196116,1.656675106,1.310246526,-0.132934201,0.141106145,-1.151444212,-0.06716637,1.094307936,0.306454373,-1.700250005,-1.853206466,-0.961715394,-0.482062283,1.366530622,-0.249401832,2.026112237,-0.441803424,-1.150087716,1.551190088,0.308235538,-0.662736595,-1.692383018,-0.568460749,,-0.089189999,-0.600966008,0.032352815,-0.194836752,2.000061222,1.021530925,1.522449397,-0.996708729,,-0.869513456,1.025205447,-0.058928693,-0.292957428,-0.238258773,-0.206429375,-0.288828399
G - ,-0.633566462,1.443448238,0.346596449,1.204409499,-0.61406258,-0.736900696,-1.217127383,0.754156256,1.155951574,0.767423877,-1.445272675,1.102996315,-1.18714302,1.03726207,0.791439765,1.539781571,0.120457148,0.369860817,0.154176435,0.884970279,0.207364865,1.240528883,-2.118606405,0.553898478,1.884080256,-0.975431364,1.036884091,0.254869635,-0.829113289,-1.289186787,0.250036561,1.236898082,-0.270158299,0.681958761,-0.983418196,-0.357739248,0.679067879,0.514155157,0.09803965,-0.457987922,-0.771379743,0.112322154,-0.201841331,0.195459769,0.042715514,0.458497527,1.110007872,-0.555234081,-0.473732087,-0.352169228,-0.552869877,2.856185437,-0.077489247,0.075118988,1.364669075,0.140974434,0.588581494,0.59180022,0.795233277,0.064487202,0.051377553,-0.954611568,-0.722325357,-0.634496789,0.365803349,0.274971744,0.052536766,-0.370593064,-1.391670301,0.089043766,0.345071279,0.580383071,0.931394696,0.319699413,-0.28874281,-1.055120977,0.274913246,-0.413421502,0.731020849,-0.191743605,0.241225728,-0.177018714,-0.417119923,0.565097289,3.196340069,0.121938249,0.969381559,0.023096712,-0.558409261,,3.146205648,0.73638363,1.299177378,-0.534827208,-0.586659648,-4.352273221,1.41919231,0.395083472,,-0.376163123,1.347965342,-1.169897502,-5.167543004,0.144113487,-0.463348695,1.794005086
H - ,0.914004922,0.476344214,-0.611025166,0.424711982,-0.713913371,-0.151968149,-0.71151596,-1.960680826,-0.073467733,0.494630478,-1.042071503,-1.308374598,0.538935778,-0.231041813,-0.611116353,0.874140688,-0.288259108,-0.203006562,0.117894169,0.9814469,-1.108022624,-1.96446114,0.26870257,0.040253824,1.826952609,-0.414704801,-1.71040149,1.443607413,1.397673294,2.189512463,0.527128867,-0.176477182,0.025910495,-0.103054264,-0.170107374,0.633263798,2.648454715,-2.059285986,1.480173175,0.389034958,-1.828678338,-1.566982693,0.78934741,0.571885567,-2.141488062,-1.700260242,2.921586241,1.450488769,0.122611941,-2.126639572,0.302261987,1.198358718,-1.677830353,0.209874418,0.073068241,0.186689754,1.174506698,-0.945330701,2.043449617,1.084408434,0.101638205,0.666204019,-1.474720507,-0.293387579,2.116404713,1.009488299,0.066407496,0.6272854,0.513475711,-0.856198325,-1.530458519,-2.559089582,-0.198078774,0.069891011,-0.27406276,0.919589211,0.054913473,1.137684609,-0.768720982,-0.450584183,0.331219647,-0.852120665,0.867738204,-1.901596007,0.384182614,0.840806661,0.712206505,-1.83895623,-0.220861435,,-0.302430535,1.7329998,-0.803618563,0.193333791,-0.656829587,2.214776799,-0.859797714,0.567898102,,-3.857519026,4.6343192,0.027719501,0.066841573,1.967362365,0.701004693,-1.207831516
I - ,0.285645785,1.034594097,0.205510927,-0.276111456,-1.347516426,0.007768621,-0.323294444,0.807647844,1.065235489,-0.569977105,0.107802923,-2.023840381,0.718182344,-0.422177449,0.180235115,-1.140055099,-0.702074855,-0.485214192,-0.575605101,-0.536213653,-0.014485051,-2.124784613,0.112262123,0.659341766,0.340000974,-0.313606343,-0.864171044,-0.327491805,0.952749229,0.595140048,0.127247969,-1.092220368,0.345093796,0.792010765,-0.848181485,0.083744608,0.27266224,-0.748321042,1.04044463,0.091302366,0.889674148,-0.821528795,0.183947506,0.852820737,0.758628036,0.275529294,-0.818946548,0.713287791,0.875465617,-0.015555766,0.49532784,0.051545914,-0.627857466,0.743358837,-0.373382061,-0.799138504,-0.872620203,0.127707004,0.346434272,0.61966923,0.26359789,-0.385291618,0.875963515,0.648477398,-0.311014575,-0.042521793,-0.34062384,0.182700563,0.802196872,-0.56805546,-0.853785881,-0.190835481,-0.339619673,0.314629435,0.915486086,-0.363875886,0.428770161,0.443503877,0.353946105,1.440758398,-0.504038299,0.124320636,0.002480464,0.460984365,-0.895038233,1.423344715,0.696399578,-1.43927447,0.316225473,,-0.220046815,0.028955671,-0.585406887,0.352686252,-1.288733994,0.906567823,-1.055926432,-0.620010353,,-0.327907097,0.360223301,0.546286309,-0.229987327,-0.151896196,1.274585891,-0.106534921
J - ,2.211774237,-0.073734239,-0.342953159,-0.441120014,-0.995130121,0.822660519,-0.35130222,-1.1436122,0.676822365,-0.398133736,-0.771910658,-1.263284575,0.98844853,-0.035735733,1.637208679,-0.707857459,0.869562698,-0.586804491,0.842150382,0.629686215,0.450949667,0.645218679,-0.270062359,1.128380592,0.319829208,0.916215155,0.625559185,0.016042296,-0.83417079,-0.574243126,-0.832363963,-1.353257665,-0.918463842,-0.24465852,-0.387678637,-0.709639767,-0.560086886,0.26340391,1.039429434,-0.459218334,0.886019656,0.561292163,-0.256186928,0.885074032,-0.550925541,-0.211047081,-1.76710304,-0.673575324,0.978954578,-0.516248031,1.403611453,-0.031273691,-0.099261831,1.113525438,-0.752150479,-0.058832028,-0.764312322,1.36721841,0.265426072,0.709438823,0.704515523,0.393816627,0.566387775,0.27928792,0.031336881,-0.223405509,0.384051394,0.776544865,0.813176179,0.479742068,-0.014032686,1.289923186,-0.697088243,0.487471986,1.040880212,-0.855188165,-0.248708442,-0.828055393,-0.702014371,0.586220364,0.748201692,-0.194369716,-0.474602641,-0.421547286,0.325403151,1.475812323,-0.968566018,-0.479084045,-0.402288911,,0.214654947,-0.228527658,1.069057232,0.755633918,0.743650456,0.218095894,-0.158073939,-0.01138987,,0.306142892,-0.219771539,-0.141036883,0.144918984,0.039253448,3.270459224,-0.116498978
