,5 FLUOROURACIL 84 ugmL,A baumannii 5075,ACTINOMYCIN D 4 ugmL,ACTINOMYCIN D 6 ugmL,ADRIAMYCIN 6 ugmL,AZITHROMYCIN 0.4 ugmL,BENZAKONIUM CHLORIDE 20 ugmL,BENZAKONIUM CHLORIDE 40 ugmL,BLEOMYCIN 1.5 ugmL,BLEOMYCIN 3 ugmL,BLOOD AGAR 1,CAMP 0.2 uM,CCCP 0.05 ugmL,CCCP 0.075 ugmL,CEFSULODIN 3 ugmL,CEFSULODIN 6 ugmL,CHLORHEXIDINE 4 ugmL,CHLORHEXIDINE 7 ugmL,CIPROFLOXACIN 0.00025 ugmL,COPPER SULPHATE 20 ugmL,COPPER SULPHATE 50 ugmL,CYCLIC DI GMP 1 uM,DIBUCAINE 0.25 ugmL,DIMETHYL FUMARATE 0.6 ugmL,DMSO 2.5 ugmL,DMSO 5 ugmL,EDTA 1 mM,EGCG 120 ugmL,EGCG 75 ugmL,EGLA WATER DISINFECTANT 1.5 ugmL,EGLA WATER DISINFECTANT 2.5 ugmL,FOSFOMYCIN 25 ugmL,FOSFOMYCIN 45 ugmL,GENTAMYCIN 5 ugmL,GLYCOLIC ACID 0.25 ugmL,GLYCOLIC ACID 0.75,HYDROGEN PEROXIDE 1.8 mM,IMIDAZOLE 12 ugmL,IMIDAZOLE 24 ugmL,ISOPROPANOL 5 ugmL,K pneumoniae MKP 103,LOPERAMIDE 60 ugmL,LOPERAMIDE 80 ugmL,LYSOZYME 120 ugmL,M9 A KETOGLUTARATE 1,M9 GLYCEROL 1,M9 PROLINE 1,M9 PYRUVATE 1,MAGNESIUM CHLORIDE 10 mgmL,MAGNESIUM CHLORIDE 5 mgmL,METFORMIN 10 ugmL,METFORMIN 8 ugmL,METHOTREXATE 60 ugmL,MMS 1,MMS 1.5,N HEXANOYL L HOMOSERINE LACTONE 200 ugmL,NIGERICIN 200 ugmL,NO SALT LB with SUCROSE 0 mM,P aeruginosa 1,PROCAINE 1 ugmL,PROCAINE 1.5 ugmL,RIFAMPICIN 0.2 ugmL,SALT 0 mM,SDS 0.25,SODIUM BUTYRATE 50 ugmL,SODIUM BUTYRATE 70 ugmL,SODIUM CHOLATE 100 ugmL,SODIUM DEOXYCHOLATE 105 ugmL,SODIUM DEOXYCHOLATE 90 ugmL,SODIUM HYPOCHLORITE 0.75,SODIUM TAUROCHOLATE 40 ugmL,SODIUM TAUROCHOLATE 60 ugmL,SPECTINOMYCIN 12 ugmL,SPECTINOMYCIN 9 ugmL,STREPTOMYCIN 3 ugmL,STREPTOMYCIN 8 ugmL,TEMPERATURE 18,TEMPERATURE 25,TEMPERATURE 30,TRICLOSAN 70 ugmL,TRICLOSAN 90 ugmL,UREA 800 ugmL,UV 0.07 Joules,UV 0.1 Joules,UV 0.2 Joules,UV 0.5 Joules,V cholerae C 7606,VANILLIN AZITHROMYCIN 1,VANILLIN CIPROFLOXACIN 1,ZINC SULPHATE 150 ugmL,pH 6
VC0001 hypothetical protein  ,-5.585642325,-1.782900461,0.868503933,1.897367437,0.885846223,0.326367501,0.396467339,-0.156078068,-1.60352857,-1.860589146,-0.242506935,-0.322643005,1.546533036,1.102774425,0.634146529,-0.382728809,0.732485248,0.182605243,1.874848328,-0.976372567,0.482659836,0.060578072,-2.205442412,-0.075014244,-1.129953043,-1.051897028,-0.47599356,0.200412052,1.969782712,-0.32353987,0.652408364,-0.108491437,-0.496438477,0.446692621,0.284801332,2.804158735,0.655322934,1.334832322,-0.271705962,-2.034707404,0.210823334,1.475414698,-0.406636941,1.336521951,-0.158429259,2.24157591,1.007994283,1.889488717,0.852734878,-0.374831229,0.440416459,0.403664819,-0.415391855,-1.539903856,-0.879668539,-1.326682521,-0.113908957,-1.956913338,1.225890603,0.686094706,-1.995378203,0.312850743,-1.258830676,-1.03090059,0.546679539,-0.223170773,1.210075662,-0.135502178,0.420052879,-0.073047103,-0.061147384,-0.887459776,0.073578652,0.423466966,-1.127350356,-2.786992401,0.32520419,0.750996771,0.413739711,0.053232483,-1.379611307,0.276739499,0.340123884,1.507909191,-0.448037668,2.052271409,0.394237724,,-1.244808088,1.007423249,0.620032913
VC0002 mioC protein mioC Energy metabolism,2.191561921,-1.468263393,-0.132105375,-0.681238642,-0.289916472,1.467428409,-2.650884354,-2.523957412,0.524077242,2.462289593,1.58423319,0.92670009,1.389042713,0.42810457,0.360464035,-1.170873813,-0.326093474,0.630020989,1.754800422,0.453308435,0.027919983,0.577772381,-0.727934344,1.671624361,0.239583852,0.670249496,1.02782291,-0.800843308,-1.401835335,-0.777654495,0.610447203,0.515933918,0.750767843,2.850215744,0.364031205,0.959662875,-0.846634598,0.478475329,-0.881845731,-1.037438854,-0.74196178,-0.700881489,-1.23698845,1.870945276,-1.195387808,1.819189932,1.480442532,-1.071373984,-0.127417267,-3.438908679,0.082847691,-3.109212848,-1.504936121,-2.220036975,-1.122750103,-2.151592822,1.153309903,-1.093341846,0.579822595,-0.177209911,-2.290851989,-0.428285926,0.854134671,-0.421633467,0.489785818,0.763124505,1.088770046,-0.169168797,-0.396832029,0.373155248,-2.865766847,-2.460964798,6.450835625,3.073284845,-1.428084168,-2.056426072,1.462885093,1.208730622,0.346982231,-0.400517719,1.214492962,1.310714807,0.660672107,-0.826562578,-0.356218921,-1.834638617,0.762884888,1.558419439,1.286756049,3.248544087,0.74789061
VC0003 thiophene and furan oxidation protein ThdF thdF Cellular processes,-1.136847692,-0.817176144,-0.498317867,-0.907557065,-0.788516443,-0.429025332,-0.256297613,-0.415681382,-0.231260307,0.544809243,-0.906586141,-1.207647059,0.080201497,0.788855175,0.171686109,1.19024148,2.810317052,0.705038432,-1.354980542,0.79187565,1.175724232,1.368795115,1.190653506,0.21211377,-0.558275485,-0.419307714,-0.945436499,1.9672504,1.004007931,2.550349729,1.096865944,1.4292511,-0.532017993,-1.088407013,-1.738174576,-0.041839504,1.134484442,-0.275623757,0.13464376,0.343998723,-0.203353906,0.242700781,0.193064394,-1.079703631,-2.152889881,1.043875715,-1.645259949,0.16605226,-0.080426955,0.094362053,0.525227852,-0.505938925,0.540677791,0.842386173,1.215872991,-0.740389597,1.237112872,0.082128583,0.047837313,0.205393345,-1.435114663,-0.123282107,-0.930932594,-1.696164385,1.295894322,2.158987419,0.482364214,1.599838668,-0.123343521,-0.805175648,-0.296035677,-0.0600107,0.161378485,-0.105467454,0.867217215,-0.207812767,-1.525908548,-1.193062416,0.227541549,-0.097288441,0.260638809,0.741118249,-1.066165494,2.021115027,-0.596152651,-0.616549994,0.222579368,,1.04664681,0.818692639,-0.306510886
VC0005/VC0006 conserved hypothetical protein/ribonuclease P protein component rnpA Hypothetical proteins/Transcription,0.396256864,-0.545076866,-0.775000387,0.120091494,0.551132954,1.127403634,1.486607588,0.327939639,-0.48918779,-0.945698965,-0.042243012,-0.19582419,-0.65268554,-1.17940168,-0.311027681,-1.414811179,0.005316034,-0.000554293,0.160606243,0.183255305,0.744032279,-0.608275413,0.901568785,0.851908922,0.188101764,-0.391217664,0.604157129,0.783389359,0.264285248,-0.314099463,-0.015648393,-1.094945317,0.852991454,-0.251256524,-0.616287775,0.290736632,-0.732360952,0.188156579,-0.348543797,-0.759360389,-0.69799987,1.031604521,-0.704810909,-0.359328804,0.846491785,0.161197769,1.94722117,1.6240689,0.178247347,0.724868791,0.20393001,-0.833506999,-1.102418036,-0.663871143,0.239074065,1.734269456,-0.220146052,1.122425731,0.163887687,-0.304745538,1.439085346,1.187418381,-0.972512843,-0.173458634,-0.367377375,-1.350157429,-0.705200206,-1.496706858,-0.088346847,-0.243627591,0.069046464,0.949899157,0.403209232,-0.124581288,-0.246178421,0.236384499,1.304078719,0.88557287,0.282610675,0.214061228,0.43907051,-0.518641887,0.151223897,0.451364562,-0.392180153,0.036784931,0.161145223,0.687985888,-0.754594177,0.669827819,-0.337911885
"VC0008 amino acid ABC transporter, ATP-binding protein  Transport and binding proteins",-1.458563687,1.061709252,0.44064994,-0.540968221,-0.258131112,-0.208956152,0.168210349,-0.082789063,-0.311962823,0.359029962,0.514440266,0.587138604,-0.725631023,-0.681491267,0.374177107,0.14552725,-0.005675871,-0.613722855,1.067869975,-0.101361871,-0.552097623,0.17893025,-0.555478213,-0.098767354,0.728314113,0.642361108,0.127939657,-0.920329214,-1.01040986,-0.02519594,0.83084271,-1.432220581,0.595710735,-1.133488349,1.012472329,-1.306637077,-0.693689757,-1.596155523,0.827828277,0.382229828,1.170807763,0.267652354,0.221731411,0.169913818,0.717079541,-0.174576576,-0.207390415,-0.211985328,1.297733228,1.162258085,0.457232384,-0.076779616,1.242994192,-0.445555302,-0.982819298,-0.300859885,0.286985238,0.55358602,-0.422198134,0.706548632,-0.465931806,0.498899676,-0.769959764,0.077498279,-0.391678293,-0.925340336,-0.40009454,-0.634315127,-0.796893487,-0.888268882,0.059736023,1.60576145,-1.087687434,0.737282215,0.664490171,0.200437519,0.531306258,0.887013538,0.614582328,0.106461491,0.018323463,-0.578960649,0.132678312,0.556791322,0.234310158,0.545802963,-0.141444786,,0.006248278,-0.852729589,0.048051794
"VC0009 amino acid ABC transproter, permease protein  Transport and binding proteins",-0.195284214,-0.420589684,1.405908512,-0.173155797,0.957524486,-0.589820932,-0.173493541,-0.062108642,-0.659546147,1.186129637,-0.67360427,1.161473854,-0.248353242,-1.372464114,-0.481485591,0.434466465,-0.378184277,-0.747637525,-0.873078459,0.643204646,0.146935209,0.31901275,-0.636884711,0.016549601,0.750412475,0.70440423,-1.500902417,-0.460632547,-0.144271986,1.774554097,-0.211894524,-0.110576632,-0.182429261,1.756841609,0.390486455,-1.148298146,-2.295906135,-0.643279563,0.713233426,-0.668552612,-0.722135081,-0.651291246,-0.917417136,0.839948916,-0.467927751,1.214317822,-0.757376662,0.90759326,-0.88677326,1.012059832,0.345976344,0.543614146,-0.575186923,2.378390962,0.947358212,1.790373647,1.016888587,1.540407227,-1.243756955,-0.995454806,0.436608105,1.154491173,1.027307641,-1.736573524,-1.791321866,-2.682110303,0.268112693,0.967794146,-0.289966908,0.265065698,0.313440868,0.962583927,-0.089312314,2.024439256,2.256948996,0.228501862,0.54013462,0.707669304,-1.300446109,-0.259354983,-0.508774512,-0.532530256,-1.046437221,0.518929808,-0.149187512,-0.539962389,0.920411704,,-0.390311113,0.792396271,1.00626447
"VC0010 amino acid ABC transporter, periplasmic amino acid-binding portion  Transport and binding proteins",0.326368551,0.313370159,0.509639201,0.011048031,0.222572049,-0.469346761,0.964856545,0.000287225,2.310797012,0.773956647,0.857774003,0.303824841,0.532282357,0.716761425,-0.7546506,-1.002209461,-0.917490999,-1.809476354,-1.432254952,0.283302338,-0.764049367,-0.865771359,1.114624861,-0.000456569,0.622681236,-1.562528099,-1.85987746,-1.32976898,0.276792968,-0.224281381,-1.024549431,-1.074059314,0.177825005,-0.885987631,-0.40292053,1.176914694,0.167671995,0.106585848,-0.313147854,0.009265611,0.034516758,0.116573887,0.606781539,-1.606475146,-0.937380661,-1.293410702,-0.083781987,-0.528271607,0.284532202,1.425079591,-0.580705402,0.693824699,-1.656814825,2.084582447,1.396545473,0.391983927,-0.475365361,-1.311022935,-0.906596746,1.376395014,0.3738087,1.616674506,0.065270858,0.172047965,1.07067395,0.274424268,0.026365304,-0.736549597,2.606865406,0.956882141,0.408346162,0.431985205,-1.18839824,-0.057949343,1.601637743,0.245687907,-0.027113826,0.68581932,0.434792026,-1.139092744,-0.782755596,0.402442383,-0.030464362,0.048246432,0.221188398,0.175790799,-0.395568515,1.453150572,-0.548274059,-0.856542331,-0.841603215
VC0011 hypothetical protein  ,-1.615846508,0.997075155,0.411277701,0.013878432,-0.619960399,0.191152324,-0.036595291,0.344322731,0.125570938,-1.222691923,-0.582082924,-0.45938138,0.486214554,-0.287186537,-0.252832446,-0.282847324,0.157882648,-1.289368547,-0.446266728,-1.287746439,0.115299799,-1.015780379,-2.286519982,-0.592076903,1.014166469,-0.197406344,0.203786989,-0.512133407,-0.506711136,-0.923903856,0.228799431,-1.529145657,0.78381499,-0.007463205,0.962532382,-0.573127509,0.582524979,-0.358479817,-0.524162062,0.809188179,0.525909436,-0.677743536,-0.104666875,-1.475517463,0.746942857,0.174998699,0.687935213,-1.211593857,0.616457814,0.409675824,-0.794849595,-1.17895328,0.854996369,-0.164361976,0.268107549,1.239074069,-0.018842277,-0.884384628,-0.077352752,0.321437209,1.420478509,0.829355505,-0.195552463,1.579903062,0.792750033,1.243623078,-1.266917155,-0.731526231,0.846023984,-0.247459094,0.135101983,-0.204992552,-0.01707751,-0.596132244,-0.700903027,0.468603575,-0.166681309,-0.0073646,0.60239829,0.474772602,-0.570824685,-1.191721743,1.3735762,0.962520053,-0.091234743,0.157442776,-2.057558181,,0.622478214,-1.976202289,-0.847296683
"VC0013 DNA polymerase III, beta chain dnaN DNA metabolism",0.376411453,0.205024886,1.05208456,0.642706208,0.725270941,0.014401323,0.29125959,-0.646619285,-0.238594046,-0.241487106,-0.043274353,-0.655643691,2.171613784,-0.32658282,-0.224040132,-0.588208038,-0.569549592,-0.113479077,1.30603003,0.24130561,-1.045433132,0.329477099,0.277388704,-0.52748409,-0.017629618,0.662314758,-1.163763792,-0.066865845,0.131054947,-0.15743243,-0.53901947,0.272633103,0.081928183,-0.552885377,0.238236181,-0.042707483,0.263545117,-0.260628412,0.809558762,-0.247387807,0.158179263,1.80586186,1.13700015,1.387352596,1.542936049,-0.397399375,0.439124164,-0.118450139,0.074597954,-0.51798703,-1.220277612,0.60605648,0.550492768,-0.23116552,-0.612273954,-1.564800617,0.421194549,1.294971735,-1.040463496,-0.692709213,-1.646923306,-0.140991661,0.060216194,-0.257633393,-0.86716389,-0.064776284,-1.283173879,0.587585815,1.877712078,0.872251505,1.644027417,-0.444536791,0.584902094,0.073379961,0.08904385,0.089386947,0.809369703,0.29372722,0.707025116,0.273924206,-0.586751665,-0.690758699,-0.281604492,1.217844363,1.770550659,1.548134266,0.598005222,,-0.541015084,-0.526878183,-0.570372432
VC0014 recF protein recF DNA metabolism,0.471403727,0.339863423,-0.181461215,0.645271211,0.2177354,-0.047472344,-0.347086639,-1.012532441,-0.140286147,0.733294104,0.16790607,0.672615712,-0.705435063,-0.176799347,0.072687233,0.435578049,-0.939176862,-1.966799804,1.281691028,0.416692638,0.215422075,1.095158078,-0.046666958,1.519861293,1.177454337,0.001801877,0.69836506,-0.463047357,-1.559664876,-0.490869244,0.455275824,-0.772719984,-1.010188532,-0.418079862,1.093925462,-0.022764507,-1.042746104,-0.834276294,0.777993615,0.400799834,1.452144103,0.82678764,-0.067391274,-0.447734594,1.166389774,-0.909736954,-0.007358703,0.563743855,0.120912743,-0.520243869,-0.354672627,-1.23456874,0.780404083,0.158019469,-0.663772413,0.141431821,0.46970211,1.100113253,-0.449425857,1.465477693,-1.896572666,0.673195661,0.35819709,-0.674881682,-0.299325834,-1.04087554,-2.385847809,-1.472523544,0.038373508,0.14325228,0.754841473,0.35538384,-1.266188505,-0.014242741,1.216508661,0.555461112,0.046222873,0.266896668,-1.18565182,-0.510883248,-0.264831871,-1.086119969,-0.467229648,0.861710981,-0.055307073,0.017236692,-0.05465579,,0.700382911,-0.393185225,0.233068233
